2026-01-24 16:47:48,301 | WARNING  | IntlExtractor | requests library not available - install with: pip install requests
2026-01-24 16:47:48,301 | WARNING  | IntlExtractor | beautifulsoup4 not available - install with: pip install beautifulsoup4
2026-01-24 16:48:06,228 | INFO     | IntlExtractor | Database initialized at ./data/intl_obligations.db
2026-01-24 16:48:06,231 | INFO     | IntlExtractor | Master Extractor initialized
2026-01-24 16:48:06,231 | INFO     | IntlExtractor | Starting extraction from: wto, imf, world_bank, un, icj, nato
2026-01-24 16:48:06,231 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:06,231 | INFO     | IntlExtractor | EXTRACTING FROM WTO
2026-01-24 16:48:06,231 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:06,231 | WARNING  | IntlExtractor | WTO API key not set - skipping trade data
2026-01-24 16:48:06,231 | INFO     | IntlExtractor | Extracting WTO disputes...
2026-01-24 16:48:06,632 | WARNING  | IntlExtractor | Request failed (attempt 1): 406 Client Error: Not Acceptable for url: https://www.wto.org/english/tratop_e/dispu_e/dispu_by_country_e.htm
2026-01-24 16:48:07,753 | WARNING  | IntlExtractor | Request failed (attempt 2): 406 Client Error: Not Acceptable for url: https://www.wto.org/english/tratop_e/dispu_e/dispu_by_country_e.htm
2026-01-24 16:48:09,880 | WARNING  | IntlExtractor | Request failed (attempt 3): 406 Client Error: Not Acceptable for url: https://www.wto.org/english/tratop_e/dispu_e/dispu_by_country_e.htm
2026-01-24 16:48:09,883 | INFO     | IntlExtractor | Completed wto: 0 records
2026-01-24 16:48:09,883 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:09,883 | INFO     | IntlExtractor | EXTRACTING FROM IMF
2026-01-24 16:48:09,883 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:09,929 | WARNING  | IntlExtractor | Request failed (attempt 1): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.NGDP_XDC?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-01-24 16:48:10,954 | WARNING  | IntlExtractor | Request failed (attempt 2): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.NGDP_XDC?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-01-24 16:48:12,981 | WARNING  | IntlExtractor | Request failed (attempt 3): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.NGDP_XDC?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-01-24 16:48:13,004 | WARNING  | IntlExtractor | Request failed (attempt 1): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/IFS/A.US.GGR_G01_XDC?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
